review,rating,sentimen,review_clean
"it says on the description fits to 2xl, but is actually only small size frame",1.0,negatif,says description fits xl actually small size frame
Lucuuuu jumpsuit and very soft nyaa,5.0,positif,lucu jumpsuit soft nyaa
"it tasted like candied papaya, not candied mango",1.0,negatif,tasted like candied papaya not candied mango
Very good value Speed ??of delivery is very good.,5.0,positif,good value speed delivery good
Two two-hour scratch. Very late.,1.0,negatif,two two hour scratch late
You see is gray but the delivery is black (I hate black),1.0,negatif,see gray delivery black hate black
Very fast delivery. Goods in accordance with the description. Cheap price. Seller friendly. Makasihhhhhhh,4.0,positif,fast delivery goods accordance description cheap price seller friendly makasih
"There is a material defect rear fitting clothes, next time more carefully when inni orders to 4kali nyaa in oclo .. New times inni ngerasaa less satisfied ..",1.0,negatif,material defect rear fitting clothes next time carefully inni orders kali nyaa oclo new times inni ngerasaa less satisfied
Good value for money,5.0,positif,good value money
"Put deceptive trade which garnered 1 3-course dish, was so k right form and missing the ball Put the ball assigned crank crank deer 100 doremon and only 50 balls .Ycau refund delivery, shop security but also ok k see how feedback .Da alms to shop underselling amount .Cach KBG face and back again!",1.0,negatif,put deceptive trade garnered course dish right form missing ball put ball assigned crank crank deer doremon balls ycau refund delivery shop security also see feedback da alms shop underselling amount cach kbg face back
Like ?? And significant leg length The price is very satisfying! ! ! ! ! ????????????????,5.0,positif,like significant leg length price satisfying
Who Pink not flame one ????????????????????????????????????????????????????????????????,1.0,negatif,pink not flame one
Her messy glue product quality is not good.,1.0,negatif,messy glue product quality not good
Awesome awesome quality merchandise value CP,5.0,positif,awesome awesome quality merchandise value cp
"Goods up like that in the order, the cauldron was good and strong gam.",4.0,positif,goods like order cauldron good strong gam
"Nice very nice, whichsoever ... very ...",4.0,positif,nice nice whichsoever
"For his second kli Repeat ... two ... best sgt continue purchasing order, a sense of follow-bls No tu, tu lpas eye alignment light sgt ... recommended ... a trusted seller ...",4.0,positif,second kli repeat two best sgt continue purchasing order sense follow bls no tu tu lpas eye alignment light sgt recommended trusted seller
TQ boss .. Regardless true for freegift ii LHA handy .. Brg pom oky not bad ..,5.0,positif,tq boss regardless true freegift ii lha handy barang pom oky not bad
How different from each picture ya what misdirected?,1.0,negatif,different picture misdirected
His red book capital but consignee is orange.,1.0,negatif,red book capital consignee orange
Excellent quality Very accommodating seller Well-packaged,5.0,positif,excellent quality accommodating seller well packaged
"I buy to map 3 size, going 4-6 while sending size 8 k has sent me to do here galamf star. For one star because vc responsibility too bad",1.0,negatif,buy map size going sending size sent galamf star one star vc responsibility bad
"Goods have been received, only the condition of the goods is very dirty by dust rupanua by P & G had not been cleaned out when would be sent",2.0,negatif,goods received condition goods dirty dust rupanua not cleaned would sent
Receipt number is different ... different products .... red awt battery is replaced with blue wrna battery ... the consumer should be smart and careful in selecting a seller,1.0,negatif,receipt number different different products red awt battery replaced blue wrna battery consumer smart careful selecting seller
The product quality is not good,1.0,negatif,product quality not good
Good all dr 4 pcs 1 outgrown that nice soft tp brgnya,5.0,positif,good pcs outgrown nice soft brgnya
OK quality,2.0,negatif,quality
Awesome awesome speed of delivery of goods quality,5.0,positif,awesome awesome speed delivery goods quality
The product quality is excellent. The original product. The product price is very good.,4.0,positif,product quality excellent original product product price good
