review_id,review,rating,sentimen,review_clean
1501,"it says on the description fits to 2xl, but is actually only small size frame",1,negatif,it says on the description fits to xl but is actually only small size frame
61824,Lucuuuu jumpsuit and very soft nyaa,5,positif,lucuuuu jumpsuit and very soft nyaa
6023,"it tasted like candied papaya, not candied mango",1,negatif,it tasted like candied papaya not candied mango
60621,Very good value Speed ??of delivery is very good.,5,positif,very good value speed of delivery is very good
4791,Two two-hour scratch. Very late.,1,negatif,two twohour scratch very late
5279,You see is gray but the delivery is black (I hate black),1,negatif,you see is gray but the delivery is black i hate black
40589,Very fast delivery. Goods in accordance with the description. Cheap price. Seller friendly. Makasihhhhhhh,4,positif,very fast delivery goods in accordance with the description cheap price seller friendly makasihhhhhhh
2227,"There is a material defect rear fitting clothes, next time more carefully when inni orders to 4kali nyaa in oclo .. New times inni ngerasaa less satisfied ..",1,negatif,there is a material defect rear fitting clothes next time more carefully when inni orders to kali nyaa in oclo new times inni ngerasaa less satisfied
57094,Good value for money,5,positif,good value for money
4233,"Put deceptive trade which garnered 1 3-course dish, was so k right form and missing the ball Put the ball assigned crank crank deer 100 doremon and only 50 balls .Ycau refund delivery, shop security but also ok k see how feedback .Da alms to shop underselling amount .Cach KBG face and back again!",1,negatif,put deceptive trade which garnered course dish was so k right form and missing the ball put the ball assigned crank crank deer doremon and only balls ycau refund delivery shop security but also ok k see how feedback da alms to shop underselling amount cach kbg face and back again
49122,Like ?? And significant leg length The price is very satisfying! ! ! ! ! ????????????????,5,positif,like and significant leg length the price is very satisfying
3984,Who Pink not flame one ????????????????????????????????????????????????????????????????,1,negatif,who pink not flame one
3275,Her messy glue product quality is not good.,1,negatif,her messy glue product quality is not good
56758,Awesome awesome quality merchandise value CP,5,positif,awesome awesome quality merchandise value cp
42887,"Goods up like that in the order, the cauldron was good and strong gam.",4,positif,goods up like that in the order the cauldron was good and strong gam
39036,"Nice very nice, whichsoever ... very ...",4,positif,nice very nice whichsoever very
38975,"For his second kli Repeat ... two ... best sgt continue purchasing order, a sense of follow-bls No tu, tu lpas eye alignment light sgt ... recommended ... a trusted seller ...",4,positif,for his second kli repeat two best sgt continue purchasing order a sense of followbls no tu tu lpas eye alignment light sgt recommended a trusted seller
62489,TQ boss .. Regardless true for freegift ii LHA handy .. Brg pom oky not bad ..,5,positif,tq boss regardless true for freegift ii lha handy barang pom oky not bad
4768,How different from each picture ya what misdirected?,1,negatif,how different from each picture ya what misdirected
5979,His red book capital but consignee is orange.,1,negatif,his red book capital but consignee is orange
53678,Excellent quality Very accommodating seller Well-packaged,5,positif,excellent quality very accommodating seller wellpackaged
4913,"I buy to map 3 size, going 4-6 while sending size 8 k has sent me to do here galamf star. For one star because vc responsibility too bad",1,negatif,i buy to map size going while sending size k has sent me to do here galamf star for one star because vc responsibility too bad
8797,"Goods have been received, only the condition of the goods is very dirty by dust rupanua by P & G had not been cleaned out when would be sent",2,negatif,goods have been received only the condition of the goods is very dirty by dust rupanua by p g had not been cleaned out when would be sent
2444,Receipt number is different ... different products .... red awt battery is replaced with blue wrna battery ... the consumer should be smart and careful in selecting a seller,1,negatif,receipt number is different different products red awt battery is replaced with blue wrna battery the consumer should be smart and careful in selecting a seller
1634,The product quality is not good,1,negatif,the product quality is not good
57801,Good all dr 4 pcs 1 outgrown that nice soft tp brgnya,5,positif,good all dr pcs outgrown that nice soft tp brgnya
11620,OK quality,2,negatif,ok quality
52831,Awesome awesome speed of delivery of goods quality,5,positif,awesome awesome speed of delivery of goods quality
36782,The product quality is excellent. The original product. The product price is very good.,4,positif,the product quality is excellent the original product the product price is very good
50885,Excelleny quality.. ? Very accomodating seller.. ? Well-packaged.. ? Item shipped immediately.. ? Will order again.. ? Thank you seller.. ????,5,positif,excelleny quality very accomodating seller wellpackaged item shipped immediately will order again thank you seller
35939,"2x already bought here and always satisfied softlensnya also original, very fast delivery of contact lenses just because minus have to wait but its okey",4,positif,x already bought here and always satisfied softlensnya also original very fast delivery of contact lenses just because minus have to wait but its okey
48955,"already buying into 2 Fast shipping, packing her cakes potluck thank God not ancur ........",5,positif,already buying into fast shipping packing her cakes potluck thank god not ancur
57472,Okay boss thx teruss yesss,5,positif,okay boss thx teruss yesss
3203,rasanya enak banget......,5,positif,rasa enak banget
9420,Product quality standards,2,negatif,product quality standards
4509,"produk sesuai dengan deskripsi.
cuma pengiriman agak terlambat.",5,positif,produk sesuai dengan deskripsi cuma kirim agak lambat
177,Rogue traders goods are not sent,1,negatif,rogue traders goods are not sent
10378,"toys can not be at Cas, goods diteima afternoon, immediately opened, then in charge, but the dead continues. so toys can not be played, when only AFTER DIPEBAIKI few can be played,",2,negatif,toys can not be at cas goods diteima afternoon immediately opened then in charge but the dead continues so toys can not be played when only after baik few can be played
2245,Disappointed by the courier. ,1,negatif,disappointed by the courier
28507,Very nice. Just be a bit thin wrote danger .. Match the price was ??????,4,positif,very nice just be a bit thin wrote danger match the price was
30334,Excellent quality. Very accommodating seller. Thank you. The power and discretion of the seller po. Each process updating po ako. We liked the cousin ko po.,4,positif,excellent quality very accommodating seller thank you the power and discretion of the seller po each process updating po ako we liked the cousin ko po
2727,"Some rusty goods, becomes less satisfactory with this purchase, please sellers do not love the goods to the buyer NG, repair again quality level of sales. thanks.",1,negatif,some rusty goods becomes less satisfactory with this purchase please sellers do not love the goods to the buyer ng repair again quality level of sales thanks
55274,item arrives in good condition ... TQ ?? the free gift which let d ... TQ saller,5,positif,item arrives in good condition tq the free gift which let d tq saller
43652,Received the items! All are in good condition and complete. Shipped immediately. Love the items will order soon. Thank you seller!,4,positif,received the items all are in good condition and complete shipped immediately love the items will order soon thank you seller
6004,The product quality is not good. according guns careful aja,1,negatif,the product quality is not good according guns careful aja
40822,"   Pomfret lid safely. Order yesterday, today got. ??. Cain was good, cold n flowy. Near the website already sold out. Ability to purchase sustenance here.",4,positif,pomfret lid safely order yesterday today got cain was good cold n flowy near the website already sold out ability to purchase sustenance here
57892,Has been completed This cover Lovely Very cheap It takes a little longer for delivery. good Advice ????????????????????????????????????????????????????,5,positif,has been completed this cover lovely very cheap it takes a little longer for delivery good advice
3759,??,5,positif,
30540,"Oki ...... ............, ..... Jjjbgujvhkbgojghkbgkjgihgv",4,positif,oki jjjbgujvhkbgojghkbgkjgihgv
3370,"Delivery time below expectation. Should clarify ready stock means ready stock in China, not Malaysia. However product is good. ",1,negatif,delivery time below expectation should clarify ready stock means ready stock in china not malaysia however product is good
10146,"with himolmol like glue and melted, the viscosity, kakahiya in buying, hope next time thorough checking, thanks",2,negatif,with himolmol like glue and melted the viscosity kakahiya in buying hope next time thorough checking thanks
42141,"Rapid response, fast delivery, goods received good no defects at all, his material awful for wear, Thank you.",4,positif,rapid response fast delivery goods received good no defects at all his material awful for wear thank you
7293,The picture is less tidy,2,negatif,the picture is less tidy
53470,Love it!! Tq!!,5,positif,love it tq
4307,snack wfh,5,positif,snack wfh
1965,"for you who want to buy, mending do here lah. I learned my lesson, and loss. The first photo request video send to WA, I send complete, videos and lists of groceries, according to them, eh haha ??ga processed, then appeared lg command in the second photo. so basically want you videoin also ga will be compensated",1,negatif,for you who want to buy mending do here lah i learned my lesson and loss the first photo request video send to wa i send complete videos and lists of groceries according to them eh haha ga processed then appeared lg command in the second photo so basically want you videoin also tidak will be compensated
11479,"Exceptional freight lamaa beginning ,,,, should be notified if you must first ,, PO berbelit2 answer when asked and responses old jg ,, if the quality is good stuff and I was satisfied but I was very disappointed with the delivery ....",2,negatif,exceptional freight lamaa beginning should be notified if you must first po belit answer when asked and responses old jg if the quality is good stuff and i was satisfied but i was very disappointed with the delivery
3601,"I've waited too long! But I have carved sculptures of cows before she nashift! Then when it finally arrived persuade !! I ordered gray and brown, but both gray then close the other one yet !!! Yah it's cheap but not worth it!",1,negatif,ive waited too long but i have carved sculptures of cows before she nashift then when it finally arrived persuade i ordered gray and brown but both gray then close the other one yet yah its cheap but not worth it
200,Poor value for money Speed ??of delivery Poor.,1,negatif,poor value for money speed of delivery poor
32382,"Pesen middle Malem, afternoon fitting home office already exists in the house .. All flame there's nothing broken, all normal, good packaging ga asal2an, I bought 17 items ga no less .. Buy pas promo (partial discount of 90%), although cheap but could not reduce the quality of service .. VERY RECOMMENDED SELLER ..! !",4,positif,sen middle malem afternoon fitting home office already exists in the house all flame theres nothing broken all normal good packaging tidak asal i bought items tidak no less buy pas promo partial discount of although cheap but could not reduce the quality of service very recommended seller
2464,item is different from manual,1,negatif,item is different from manual
53184,Good quality ... visor is also clear ... waiting for more color products well .. thank you.,5,positif,good quality visor is also clear waiting for more color products well thank you
11314,"Not according to expectations, with a well giraffes to look like a dragon.",2,negatif,not according to expectations with a well giraffes to look like a dragon
1078,Ssuai goods prices. Very good seller response but slow delivery. Pay Friday afternoon Monday expelled with ash falling. Packing quite safe,1,negatif,ssuai goods prices very good seller response but slow delivery pay friday afternoon monday expelled with ash falling packing quite safe
7487,Yes passable nice lah,2,negatif,yes passable nice lah
8757,Small anyway but I like the overlay,2,negatif,small anyway but i like the overlay
35842,Very good value Speed ??of delivery is very good.,4,positif,very good value speed of delivery is very good
8382,Size a bit smaller than standard size.,2,negatif,size a bit smaller than standard size
39418,Bagusssss bgttttt Hopefully real waterprof,4,positif,bagusssss bgttttt hopefully real waterprof
10962,"Fully charge the battery and to not use such that slipped half a bar more than 1 day, the battery is low too .... haizz temporary use so alone. (The battery is fully charged the previous evening until shooting)",2,negatif,fully charge the battery and to not use such that slipped half a bar more than day the battery is low too haizz temporary use so alone the battery is fully charged the previous evening until shooting
2483,"I have info, order 8 kinds tp being sent rockets all !!! I want to retur gmn how?",1,negatif,i have info order kinds tp being sent rockets all i want to retur gmn how
55029,I love the color duration tangal could even eat foam,5,positif,i love the color duration tangal could even eat foam
11169,Long hijab nerawang.Tapi anyway but the material still good for that price ??,2,negatif,long hijab nerawangtapi anyway but the material still good for that price
6201,Item received is damaged. It doesn't have free hard wax as it is indicated on the description of the packaged will never order again.,1,negatif,item received is damaged it doesnt have free hard wax as it is indicated on the description of the packaged will never order again
41938,Good product quality Good value for money Fast delivery,4,positif,good product quality good value for money fast delivery
62014,"The pots were small than expected. Recommend that the seller put the pot dimension on description of items. There were also cracks on the holes indicating that seller only put holes on them. One pot does not have a hole on it.   Overall, items are in good condition.  ",5,positif,the pots were small than expected recommend that the seller put the pot dimension on description of items there were also cracks on the holes indicating that seller only put holes on them one pot does not have a hole on it overall items are in good condition
4746,Sy disappointed. Sy new users. Katany new law interchangeable frequent users choose oil free products sania tp sy hadiahny not reply dtng dateng cumn everwhite sy ny j Brang who buy,1,negatif,sy disappointed sy new users katany new law interchangeable frequent users choose oil free products sania tp sy hadiahny not reply dtng datang cumn everwhite sy ny j brang who buy
60096,3 times to buy with this seller. Thank God BRG Mandailing under a good and fast. Tq,5,positif,times to buy with this seller thank god barang mandailing under a good and fast tq
32641,Awesome speed of the ship awesome awesome quality merchandise value CP,4,positif,awesome speed of the ship awesome awesome quality merchandise value cp
3118,customer need to use measurement belt like seller or else you need to borrow their measurement belt for confirm your measurement.,1,negatif,customer need to use measurement belt like seller or else you need to borrow their measurement belt for confirm your measurement
32472,"Recommended ibuuuuuuukkkkkk really yes ibuk oath, kece really, I sukaaaaaakkk, trimakasiiiiiiii ????????????????????????????????????????????????????????????????????????????????????  ????????????????????????????????????????????????????????????????????????????????????  ????????????????????????????????",4,positif,recommended ibuuuuuuukkkkkk really yes ibuk oath kece really i sukaaaaaakkk trimakasiiiiiiii
32395,The product quality is excellent. The original product. The product price is very good.,4,positif,the product quality is excellent the original product the product price is very good
3265,The color does not suit rather dull gambar.birunya not bright. The influx of so navy blue,1,negatif,the color does not suit rather dull gambarbirunya not bright the influx of so navy blue
11292,"Sm heck goods such as in gmbr, tp Syng in different writings and kegunaan.SAMBILOTO kasiat usability: ease the symptoms of diabetes Then who CURBAMIN KAROMAH kasiat: maintaining the health of cancer patients pd. Gmn confused the heck ,, q, in keterang Hp obtny kok sm in different containers bgtttttttttt",2,negatif,sm heck goods such as in gmbr tp syng in different writings and kegunaansambiloto kasiat usability ease the symptoms of diabetes then who curbamin karomah kasiat maintaining the health of cancer patients pd gmn confused the heck q in terang hp obtny kok sm in different containers bgtttttttttt
8696,"satisfied with the product but it has some crack on the cover. and the seller always slow response, overall okey",2,negatif,satisfied with the product but it has some crack on the cover and the seller always slow response overall okey
1275,"Bad delivery, which sent other equally distinguished in an image while willing to sell again Future packaging long time, please be more careful and more fast response at the chat buyers!",1,negatif,bad delivery which sent other equally distinguished in an image while willing to sell again future packaging long time please be more careful and more fast response at the chat buyers
1470,Smell it Wash twice Soak the fabric softener to half-day sun for 2 days the smell was still intact.,1,negatif,smell it wash twice soak the fabric softener to halfday sun for days the smell was still intact
35831,Delivery by J&T was late,4,positif,delivery by jt was late
37930,Products have been accurate but it's very slow to send ems. It must be more sensitive than this I shop soon Or transport problems as well.,4,positif,products have been accurate but its very slow to send ems it must be more sensitive than this i shop soon or transport problems as well
3405,"Underpants very itchy and painful, to replace wear cloth Coton",1,negatif,underpants very itchy and painful to replace wear cloth coton
107,"Product has been successfully trial, not sure whether it is genuine or not, to see my side. Use a dry cloth is also very good spinning very wet. Handle the timer is not strong enough yet to call back.",1,negatif,product has been successfully trial not sure whether it is genuine or not to see my side use a dry cloth is also very good spinning very wet handle the timer is not strong enough yet to call back
10425,Good quality but it's hood so small use to me,2,negatif,good quality but its hood so small use to me
53871,Excellent product quality excellent product price excellent product quality is very good delivery speed is very good seller's response,5,positif,excellent product quality excellent product price excellent product quality is very good delivery speed is very good sellers response
34482,"The order came two piece Flash sale is worth a lot. But unfortunately the press box Size large, but not paid. Out of the box before ?? bought 2 tickets worth so much money. Leaves a little to think that the transport service is very good very fast delivery will use again.",4,positif,the order came two piece flash sale is worth a lot but unfortunately the press box size large but not paid out of the box before bought tickets worth so much money leaves a little to think that the transport service is very good very fast delivery will use again
4029,"Though dropship, but still written the name of the sender. Close ga Rapet. Dirty goods, fitting in open rich never been used before",1,negatif,though dropship but still written the name of the sender close tidak rapet dirty goods fitting in open rich never been used before
6203,The quality of the sounds is not really good unlike what I have before .... ,1,negatif,the quality of the sounds is not really good unlike what i have before
36450,Penghantarn nice post reply rate chic n n brg smpai enough,4,positif,penghantarn nice post reply rate chic n n barang smpai enough
9257,It would be better if the socks delivered have some choices of design,2,negatif,it would be better if the socks delivered have some choices of design
11766,Defective products No checks before delivery to the customer.,2,negatif,defective products no checks before delivery to the customer
9511,Who sent not to order.,2,negatif,who sent not to order
43419,Good product quality is also good packaging is also good delivery,4,positif,good product quality is also good packaging is also good delivery
61899,"Bnget until the goods have been appropriate, mksih yes",5,positif,bnget until the goods have been appropriate mksih yes
54976,Its products are good and functioning properly. Thank BricaBarisom,5,positif,its products are good and functioning properly thank bricabarisom
5128,YET TO .. ??OR IS NOT UP? ONCE MY ORDER WITH CONTROL TP Keret TRAIN CONTROL WHICH ONLY UNTIL,1,negatif,yet to or is not up once my order with control tp ret train control which only until
60728,Awesome speed of the ship awesome awesome quality goods CP value awesome service,5,positif,awesome speed of the ship awesome awesome quality goods cp value awesome service
49986,"Ok delivery can last 2 days. Ori products, reasonable price ????",5,positif,ok delivery can last days ori products reasonable price
5031,pembelian ke sekian.. masih enak,5,positif,beli ke sekian masih enak
42547,Thanks for goods already landed safely,4,positif,thanks for goods already landed safely
44598,Awesome speed of the ship awesome awesome quality merchandise value CP,4,positif,awesome speed of the ship awesome awesome quality merchandise value cp
35308,nice amd absorbent,4,positif,nice amd absorbent
45791,Pack the product pretty much affordable.,5,positif,pack the product pretty much affordable
487,"The hour menitannya kak ga street, next time if you want to send in dlu try yah kak",1,negatif,the hour menit kak tidak street next time if you want to send in dlu try yah kak
11753,Somewhat disappointed his'm blue in shipping gold but already say if ga chat peenjual response tp his first mace Tp pretty lah goods thanks,2,negatif,somewhat disappointed hism blue in shipping gold but already say if tidak chat peenjual response tp his first mace tp pretty lah goods thanks
33,The tube sleeve to struggle out y'all sir. I put ?k on foot but also wide attention. Zide M and know ?????? poor product packaging. Calico ball stick in pockets. Torn corner. Austria no labels at all. Bad smell.,1,negatif,the tube sleeve to struggle out yall sir i put k on foot but also wide attention zide m and know poor product packaging calico ball stick in pockets torn corner austria no labels at all bad smell
35678,"It's good. My little sister likes it so much. She loves the color. It's neat and we'll package. So far, we don't have any trouble with the watch. Will order again",4,positif,its good my little sister likes it so much she loves the color its neat and well package so far we dont have any trouble with the watch will order again
37582,Thanks ... Packing neatly ... Seller friendly .... Thanks,4,positif,thanks packing neatly seller friendly thanks
7510,The response was not good sellers,2,negatif,the response was not good sellers
34586,Awesome speed of the ship awesome awesome quality goods CP value awesome service,4,positif,awesome speed of the ship awesome awesome quality goods cp value awesome service
32051,Good product quality Good value for money Good product quality Good value for money Good value for money Good product quality Good product quality Good value for money Good value for money Good value for money Good value for money Good value for money Good value for money Good value for money,4,positif,good product quality good value for money good product quality good value for money good value for money good product quality good product quality good value for money good value for money good value for money good value for money good value for money good value for money good value for money
10601,Sounds a lot better than this recommended to buy JBL sound much better.,2,negatif,sounds a lot better than this recommended to buy jbl sound much better
2678,Poor product quality,1,negatif,poor product quality
5627,"Goods in accordance with the price. This price of 12k, a small pillow, not neat stitching, the fabric rough so there putih2 mouth stuck on all sides, and kerassss dongggg. If you want to buy a nice reply pillows that cost over 50k.",1,negatif,goods in accordance with the price this price of k a small pillow not neat stitching the fabric rough so there putih mouth stuck on all sides and kerassss dongggg if you want to buy a nice reply pillows that cost over k
6849,"But it's been a problem that the transport delay. 1pack has been leaking oil, but would not return because they have to. I took it to work",2,negatif,but its been a problem that the transport delay pack has been leaking oil but would not return because they have to i took it to work
57962,Good stuff,5,positif,good stuff
54204,Work perfectly! And fast response too. Highly recommended,5,positif,work perfectly and fast response too highly recommended
11439,Product quality standards,2,negatif,product quality standards
45891,Cool cool cool satisfied deh same blanket maison OTG elmesa ????????????,5,positif,cool cool cool satisfied deh same blanket maison otg elmesa
59247,Thanks sis package already nyampe paketan ... Costamerku like .... Good luck terussss ... ????????,5,positif,thanks sis package already nyampe paket costamerku like good luck terussss
6365,"smaller size, whereas sama2 36, good stuff, but the delivery lamaaaaa bgt, until 6 hariii",2,negatif,smaller size whereas sama good stuff but the delivery lamaaaaa bgt until hariii
62831,highly recommended. Good packaging with bubble wrap and cardboard to prevent scratches. Well done!,5,positif,highly recommended good packaging with bubble wrap and cardboard to prevent scratches well done
5584," The product quality is not good. + + Speed ??of delivery is good. If you can give a value of 0 I love the value 0 deh. Oath of bad quality of his ingredients, he said all this size leggings Adek rich mine and products do not original. Weve Yasudahlah price can not dibohongin.",1,negatif,the product quality is not good speed of delivery is good if you can give a value of i love the value deh oath of bad quality of his ingredients he said all this size leggings adek rich mine and products do not original weve yasudahlah price can not dibohongin
8115,valorem. long-lived hope ..,2,negatif,valorem longlived hope
45510,Product has been successfully In one correct order. New products are tailoring good quality and affordable. For both men and women,5,positif,product has been successfully in one correct order new products are tailoring good quality and affordable for both men and women
57385,Awesome speed of the ship awesome awesome quality merchandise value CP,5,positif,awesome speed of the ship awesome awesome quality merchandise value cp
34822,"original goods, works fine, very fast delivery, packaging neat and secure",4,positif,original goods works fine very fast delivery packaging neat and secure
6697,Product quality standards,2,negatif,product quality standards
1368,"I want this product, But, I didn't  receive the item.",1,negatif,i want this product but i didnt receive the item
5707,NO ULIT I order SHOP !! NATO ?? WRONG ITEM !! YUNG Have SAKEN ?? ARE YOU DUN THE PICTURE OF SELLING !! NLA ???? BINABASA NOT WHAT TO QUALITY AND WHICH WRITTEN IN REMARKS !! ???? SAYANG LNG YUNG MONEY KO !! ?? PAYS mE BUT TRUE FALSE YUNG GIVE YOU !! ??????,1,negatif,no ulit i order shop nato wrong item yung have saken are you dun the picture of selling nla binabasa not what to quality and which written in remarks sayang lng yung money ko pays me but true false yung give you
8495,"Yaaa breadth, not slim, but good gapapa SSSA nyaa",2,negatif,yaaa breadth not slim but good gapapa sssa nyaa
11516,My order for 7 items but i do not received full stock. Still has 2pcs not send to me...,2,negatif,my order for items but i do not received full stock still has pcs not send to me
9500,"fast delivery, unopened wish to order .... thank you",2,negatif,fast delivery unopened wish to order thank you
40292,Good stuff. Packaging fast.,4,positif,good stuff packaging fast
4329,Ny ask who is knp smp in tmpt mlh in love ny yg g collogen according bgt,1,negatif,ny ask who is knp smp in tmpt mlh in love ny yang g collogen according bgt
32008,A great comfort,4,positif,a great comfort
11275,Delivery time. 2 pcs his UHT Anlene not sent.,2,negatif,delivery time pcs his uht anlene not sent
33618,Awesome awesome speed of the ship's delivery speed fabulous quality of goods,4,positif,awesome awesome speed of the ships delivery speed fabulous quality of goods
46556,Captain shield. Cool,5,positif,captain shield cool
5151,Poor product quality,1,negatif,poor product quality
36537,Adem soft recomended ??,4,positif,adem soft recomended
53286,Received it today. It is very very very fast delivery. But I haven't use can't comment much.,5,positif,received it today it is very very very fast delivery but i havent use cant comment much
2675,Corrupted. Scam.,1,negatif,corrupted scam
55578,His delivery is very fast and thanks are given bonus 1 Wrap sunflower seed .. good luck is always on and the seed grows all ..,5,positif,his delivery is very fast and thanks are given bonus wrap sunflower seed good luck is always on and the seed grows all
4144,Udah langganan beli disini. Selalu puas dgn produknya & harga bersaing. Thanks,5,positif,udah langgan beli sini selalu puas dgn produk harga saing thanks
1950,"Ionela about 1 did not have a reply at all, may well be less healthy sales,",1,negatif,ionela about did not have a reply at all may well be less healthy sales
28865,"Loved it cepet delivery, goods are good, if you want pesen langsungsung 32G wrote again when the price of this hour ... ????????????",4,positif,loved it cepet delivery goods are good if you want sen langsungsung g wrote again when the price of this hour
40998,Excellent product quality,4,positif,excellent product quality
44495,Good product quality Good value for money Fast delivery Excellent service by seller,4,positif,good product quality good value for money fast delivery excellent service by seller
3034,"Alhamdulillah packet has been received. Its packaging passable tidy but only less secure krena sdkt bubble wrapnya not thick. Buy this Casan time buy one get one, dear tp create two chargeran gabisa cas. Sorry I changed starred ??",1,negatif,alhamdulillah packet has been received its packaging passable tidy but only less secure krena sdkt bubble wrapnya not thick buy this cas time buy one get one dear tp create two chargeran gabisa cas sorry i changed starred
49273,"Always satisfied shopping here, Alhamdulillah already want one year subscription of shopping here, not ever disappointed at the product ??",5,positif,always satisfied shopping here alhamdulillah already want one year subscription of shopping here not ever disappointed at the product
3082,Ny small clothes are not in accordance * sizeny,1,negatif,ny small clothes are not in accordance sizeny
42665,Fabric dep. Prompt delivery. Note the price. Chu shop cute. Beautiful product.,4,positif,fabric dep prompt delivery note the price chu shop cute beautiful product
47931,"Peace be upon you, and Allah mercy and blessings Alhamdulillah goods already acceptability sya well New Sorry confirmation",5,positif,peace be upon you and allah mercy and blessings alhamdulillah goods already acceptability sya well new sorry confirmation
28475,Take 9 days to reach my mail box. Oppo R11 can be  fix into this phone case. Satisfied with this item.,4,positif,take days to reach my mail box oppo r can be fix into this phone case satisfied with this item
7930,"Old packaging because of china. Minta sent even sent a yellow and white colors - """,2,negatif,old packaging because of china minta sent even sent a yellow and white colors
7690,"Order other, to the others. X updates stock, if we want to design xde Accordingly seller asked what previous nk exchange design. Naseb good design in Anta is pretty, too. TQ Apepon seller. Sy buy ye.",2,negatif,order other to the others x updates stock if we want to design xde accordingly seller asked what previous nk exchange design naseb good design in anta is pretty too tq apepon seller sy buy ye
1418,Very poor response pngemasan chat her long and distinguished items fit together Gak in the description and drawings Gambr was just drenched Sngat disappointed me sudh konfirmas order cancellation request and said the seller also Iyah I'll still be sent confirmation but ehh not sebrpa kejjuran hrga Although it uta,1,negatif,very poor response pngemasan chat her long and distinguished items fit together tidak in the description and drawings gambr was just drenched sngat disappointed me sudh konfirmas order cancellation request and said the seller also iyah ill still be sent confirmation but ehh not sebrpa kejjuran hrga although it uta
10355," Good value for money Fast delivery Excellent service by seller but i cannot wearing all the time because alergic for this iterm,sorry,btw service is good",2,negatif,good value for money fast delivery excellent service by seller but i cannot wearing all the time because alergic for this itermsorrybtw service is good
4830,"Bangettt long delivery, the product is not delivered, disappointed deh",1,negatif,bangettt long delivery the product is not delivered disappointed deh
53014,Very accommodating seller Well-packaged,5,positif,very accommodating seller wellpackaged
10195," Product quality standards., Delivery fast enough",2,negatif,product quality standards delivery fast enough
4568,"Housekeeping nearly a month, as soon as the goods arrive even less, order two, sent one",1,negatif,housekeeping nearly a month as soon as the goods arrive even less order two sent one
39226,"Bought and recommend to friends 5 units, used ok",4,positif,bought and recommend to friends units used ok
4602,Spigen logo is missing.. this fake product..,1,negatif,spigen logo is missing this fake product
9869,This is not mask face . At first I thought it was a pieces of handcrafted. ,2,negatif,this is not mask face at first i thought it was a pieces of handcrafted
28871,"Packs of late delivery of some goods, but overall is very good value for this price it 5 stars if it had a chance to come back to this or any other subsidized goods in the shop again thinking.",4,positif,packs of late delivery of some goods but overall is very good value for this price it stars if it had a chance to come back to this or any other subsidized goods in the shop again thinking
1006,The product quality is not good,1,negatif,the product quality is not good
27809,Good product quality,4,positif,good product quality
932,Total not to order,1,negatif,total not to order
4207,"Snack ter-enakkkkkk
Pelayanan super cepat",5,positif,snack terenakkkkkk layan super cepat
5418,Wrong item received Will not order again!!! I'm very disappointed!! Mali yung size!!!!,1,negatif,wrong item received will not order again im very disappointed mal yung size
4900,"Ask for size 38 shipped 37, UDH so long next to another shoe fuck lah! Smallness not kepake",1,negatif,ask for size shipped udh so long next to another shoe fuck lah smallness not kepake
47766,Very good value Product quality is very good Speed ??of delivery is very good. Very good service from the store. The service is great from the carrier.,5,positif,very good value product quality is very good speed of delivery is very good very good service from the store the service is great from the carrier
6911,"Kirain slippery fish meatballs so, because I'm hoping to disup. But even so weird starchy.",2,negatif,kirain slippery fish meatballs so because im hoping to sup but even so weird starchy
149,Th? sp bt quality. Falcon k is only the attitude of the shop. Both are wrong nh yourself and shop when discussing solutions k th? enthusiastic shop. Winding refused. Mistaken delivery form still controversial mortar pestle,1,negatif,th sp bt quality falcon k is only the attitude of the shop both are wrong nh yourself and shop when discussing solutions k th enthusiastic shop winding refused mistaken delivery form still controversial mortar pestle
59858," Excellent product quality excellent product price is very good delivery speed is very good seller ,,, response RECOMMENDED SELLER",5,positif,excellent product quality excellent product price is very good delivery speed is very good seller response recommended seller
1905,alhamdulillah mantabbbbbbbb,5,positif,alhamdulillah mantabbbbbbbb
7671,"the item is received, the process is quite slow ... 1st time buy with seller. before buying hospitable, last bought'm wondering shipping x reply. xde goods postage bubble wrap directly. hope the product effective.",2,negatif,the item is received the process is quite slow st time buy with seller before buying hospitable last boughtm wondering shipping x reply xde goods postage bubble wrap directly hope the product effective
1954,Very bad packaging ??  Don't deserve a single star actually.,1,negatif,very bad packaging dont deserve a single star actually
